fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1706,car,0.73,tensor(3.),1431,321,1513,382,,0,0,0,0,0,
1706,car,0.67,tensor(4.),1141,306,1212,363,,0,0,0,0,0,
1707,car,0.91,tensor(1.),818,291,1069,469,"£5059 LYY
",0.73,58,110,121,130,"£5059 LYY
"
1707,car,0.73,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1707,person,0.72,tensor(3.),1765,324,1804,412,,0,0,0,0,0,
1707,car,0.66,tensor(4.),1141,307,1213,364,,0,0,0,0,0,
1707,car,0.64,tensor(5.),1292,318,1344,349,,0,0,0,0,0,
1708,car,0.89,tensor(1.),803,290,1064,475,"£5059 LYY
",0.67,58,113,123,135,"£5059 LYY
"
1708,car,0.73,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1708,person,0.65,tensor(3.),1766,324,1805,411,,0,0,0,0,0,
1708,car,0.65,tensor(4.),1140,307,1213,364,,0,0,0,0,0,
1708,car,0.62,tensor(5.),1292,318,1344,349,,0,0,0,0,0,
1709,car,0.9,tensor(1.),789,290,1058,479,"£5059 LYY
",0.8,57,116,124,138,"£5059 LYY
"
1709,car,0.73,tensor(2.),1432,321,1513,382,,0,0,0,0,0,
1709,person,0.69,tensor(3.),1767,321,1807,414,,0,0,0,0,0,
1709,car,0.61,tensor(4.),1139,306,1212,362,,0,0,0,0,0,
1710,car,0.91,tensor(1.),771,288,1050,484,"3059 LYY
",0.81,58,121,128,145,"3059 LYY
"
1710,car,0.73,tensor(2.),1432,321,1513,382,,0,0,0,0,0,
1710,person,0.71,tensor(3.),1768,322,1809,417,,0,0,0,0,0,
1710,car,0.63,tensor(4.),1139,307,1214,363,,0,0,0,0,0,
1711,car,0.9,tensor(1.),751,289,1044,493,"£3059 LYY
",0.83,61,121,134,149,"£3059 LYY
"
1711,car,0.73,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1711,person,0.72,tensor(3.),1770,321,1810,416,,0,0,0,0,0,
1711,car,0.66,tensor(4.),1138,307,1217,365,,0,0,0,0,0,
1712,car,0.9,tensor(1.),731,286,1041,500,"£3059 LvY
",0.79,61,132,137,156,"£3059 LvY
"
1712,car,0.73,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1712,person,0.69,tensor(3.),1770,318,1813,415,,0,0,0,0,0,
1712,car,0.68,tensor(4.),1135,307,1216,367,,0,0,0,0,0,
1713,car,0.88,tensor(1.),709,284,1028,507,"£s05¢ Lyy
",0.76,63,138,142,164,"£s05¢ Lyy
"
1713,car,0.72,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1713,car,0.71,tensor(3.),1135,308,1216,368,,0,0,0,0,0,
1713,person,0.68,tensor(4.),1771,318,1813,414,,0,0,0,0,0,
1714,car,0.91,tensor(1.),686,283,1020,516,"£5059 Lyy
",0.85,63,144,146,171,"£5059 Lyy
"
1714,car,0.72,tensor(2.),1431,321,1513,382,,0,0,0,0,0,
1714,car,0.71,tensor(3.),1132,307,1216,369,,0,0,0,0,0,
1714,person,0.61,tensor(4.),1774,323,1814,413,,0,0,0,0,0,
1715,car,0.95,tensor(1.),657,281,1012,524,"£5058 Lyy
",0.87,67,151,154,181,"£5058 Lyy
"
1715,car,0.75,tensor(2.),1130,308,1220,370,,0,0,0,0,0,
1715,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1715,person,0.61,tensor(4.),1776,323,1815,414,,0,0,0,0,0,
1716,car,0.95,tensor(1.),630,280,1003,533,"ESS LY
",0.73,68,159,156,189,"ESS LY
"
1716,car,0.75,tensor(2.),1128,307,1219,370,,0,0,0,0,0,
1716,car,0.73,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1717,car,0.9,tensor(1.),597,280,994,543,"poss ury,
",0.73,70,164,165,197,"poss ury,
"
1717,car,0.76,tensor(2.),1126,307,1215,370,,0,0,0,0,0,
1717,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1718,car,0.92,tensor(1.),562,278,980,554,"gxcs Ly
",0.79,70,173,171,207,"gxcs Ly
"
1718,car,0.76,tensor(2.),1125,305,1213,370,,0,0,0,0,0,
1718,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1718,person,0.65,tensor(4.),1780,322,1819,418,,0,0,0,0,0,
1719,car,0.93,tensor(1.),520,278,970,567,,0.64,75,179,180,217,
1719,car,0.78,tensor(2.),1124,305,1210,370,,0,0,0,0,0,
1719,car,0.72,tensor(3.),1431,322,1513,382,,0,0,0,0,0,
1719,person,0.65,tensor(4.),1779,322,1820,418,,0,0,0,0,0,
